Crop,Season,State,Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,Kharif,Odisha,2011,898550,2184378.8,1490.07,117.08,5.7885,2.431
Maize,Rabi,Punjab,2018,602586,2120780.04,1084.38,166.91,5.2107,3.5195
Maize,Rabi,Andhra Pradesh,1997,20474,92362.23,1175.2,171.9,6.0014,4.5112
Rice,Kharif,Karnataka,2015,2386781,7186556.14,1377.71,89.87,4.2028,3.011
Rice,Kharif,Assam,2008,2709380,5647069.44,915.26,161.27,7.3563,2.0843
Maize,Rabi,Punjab,1997,603782,1772174.23,860.97,96.73,3.5216,2.9351
Wheat,Rabi,Jammu and Kashmir,2018,2077111,10450498.23,661.8,206.05,1.4918,5.0313
Maize,Rabi,Madhya Pradesh,2013,50209,213169.85,443.22,110.06,1.7833,4.2457
Rice,Kharif,Telangana,1998,2934097,7610253.61,804.44,170.12,6.2753,2.5937
Maize,Rabi,Gujarat,1998,614805,1680188.28,695.22,130.88,2.6688,2.7329
Maize,Kharif,Himachal Pradesh,1998,124629,483066.49,1057.69,114.08,0.8889,3.876
Maize,Kharif,Jharkhand,2004,330236,890662.03,958.94,150.3,5.9867,2.697
Rice,Kharif,Punjab,2020,2809691,17991425.13,1452.07,157.99,3.2673,6.4033
Rice,Kharif,Telangana,2014,770317,2324916.82,1431.41,107.21,3.2893,3.0181
Maize,Rabi,Maharashtra,2016,794114,2656126.11,1163.55,86.95,2.3704,3.3448
Maize,Rabi,Punjab,2001,229993,598334.42,1197.09,101.41,6.4488,2.6015
Maize,Rabi,Rajasthan,2008,553102,2307624.45,1087.67,125.48,3.1706,4.1721
Wheat,Rabi,Bihar,2010,1639901,5851101.41,563.17,178.87,4.2975,3.568
Maize,Rabi,Jharkhand,2006,483073,1355849.23,982.27,135.6,2.6297,2.8067
Wheat,Rabi,Jammu and Kashmir,1997,1576239,6002112.32,475.24,177.64,0.9897,3.8079
Maize,Kharif,Haryana,2010,335463,1075611.12,840.07,179.65,5.976,3.2063
Rice,Kharif,Jammu and Kashmir,2001,1350552,3483829.9,1212.31,198.69,4.5727,2.5796
Rice,Kharif,Rajasthan,2009,865897,2775230.02,1163.81,128.47,0.5349,3.205
Maize,Kharif,Rajasthan,2003,577133,2220430.41,543.94,154.44,0.5776,3.8473
Maize,Rabi,Uttar Pradesh,2016,466362,1696309.72,442.58,86.35,1.9171,3.6373
Maize,Kharif,Jammu and Kashmir,2013,491849,1611959.9,963.12,70.15,4.5402,3.2773
Rice,Kharif,Haryana,1998,2299051,9852909.33,1064.92,83.31,7.0778,4.2856
Maize,Rabi,Telangana,2005,699178,3323147.41,900.07,122.84,1.0401,4.7529
Maize,Rabi,Punjab,2019,404841,1458354.42,563.36,112.97,3.9276,3.6023
Maize,Rabi,West Bengal,2014,555818,2131347.62,1189.31,77.27,6.7366,3.8346
Maize,Kharif,Jharkhand,2005,339198,925051.42,608.9,81.52,2.6559,2.7272
Rice,Kharif,Uttar Pradesh,2006,2742182,8279462.24,1235.3,102.19,7.1412,3.0193
Maize,Kharif,Chhattisgarh,2019,297701,1120673.95,1073.25,88.76,0.5192,3.7644
Wheat,Rabi,Haryana,2009,1123190,8489298.35,382.71,130.41,1.7233,7.5582
Maize,Rabi,Gujarat,2009,146678,455207.97,1175.63,146.74,1.5684,3.1035
Maize,Kharif,Uttarakhand,2006,725141,2165385.76,1196.38,107.7,6.3491,2.9862
Maize,Kharif,Karnataka,2012,449726,2715518.35,841.64,119.51,2.745,6.0382
Wheat,Rabi,Punjab,2001,1402193,10106825.46,409.29,219.9,2.7906,7.2079
Maize,Rabi,Chhattisgarh,2009,147921,491924.13,675.11,121.61,0.4549,3.3256
Maize,Rabi,Odisha,2014,197148,681903.36,1011.75,135.86,1.5031,3.4588
Wheat,Rabi,Bihar,2004,409403,1296887.46,354.24,212.51,2.6461,3.1678
Rice,Kharif,Punjab,2008,1393489,8128206.69,1211.12,193.79,1.7555,5.833
Maize,Kharif,Rajasthan,2010,418477,1780683.24,518.41,106.98,3.5406,4.2552
Rice,Kharif,Telangana,2019,2136846,7128970.61,1053.62,125.88,1.8467,3.3362
Rice,Kharif,Tamil Nadu,2000,2629945,10342036.56,834.69,173.99,7.0024,3.9324
Maize,Rabi,Madhya Pradesh,2017,629478,2632133.4,587.07,102.91,4.8017,4.1815
Maize,Rabi,Assam,2001,494131,1404880.3,498.02,119.46,1.3298,2.8431
Wheat,Rabi,Jammu and Kashmir,2006,2410224,10785609.72,611.93,132.15,1.5617,4.4749
Maize,Rabi,Rajasthan,2012,605687,2517093.11,441.3,178.94,5.7387,4.1558
Maize,Kharif,Telangana,2011,629103,3220334.11,493.48,156.06,2.4347,5.1189
Maize,Kharif,Uttarakhand,2001,257422,666939.05,572.12,108.82,0.7336,2.5908
Maize,Kharif,Uttar Pradesh,2011,752251,2650097.89,1116.64,167.08,0.9952,3.5229
Rice,Kharif,Uttar Pradesh,2013,1363948,4793333.65,1238.09,160.74,6.7377,3.5143
Wheat,Rabi,Madhya Pradesh,2000,770870,2784877.4,647.95,184.95,2.5845,3.6126
Rice,Kharif,Punjab,2018,2287845,14052651.63,1285.48,128.22,0.8374,6.1423
Wheat,Rabi,Gujarat,2011,216760,830932.63,375.94,165.93,5.3411,3.8334
Maize,Kharif,Karnataka,2003,259533,1393792.55,857.57,88.65,2.9128,5.3704
Rice,Kharif,Maharashtra,2010,963470,3075200.74,1578.62,108.32,3.7562,3.1918
Maize,Rabi,Maharashtra,2020,135738,514224.49,621.41,107.64,4.2653,3.7884
Rice,Kharif,Rajasthan,2003,1465847,3771441.42,1005.86,178.59,7.7488,2.5729
Maize,Kharif,Tamil Nadu,1998,176720,468084.77,1171.78,81.89,0.5695,2.6487
Maize,Rabi,Haryana,1997,769491,2148425.45,443.34,141.88,4.6648,2.792
Maize,Kharif,Chhattisgarh,1999,31240,85165.55,895.64,173.75,2.5648,2.7262
Maize,Rabi,Haryana,2002,350637,1070946.18,641.56,149.52,0.4755,3.0543
Rice,Kharif,Bihar,1998,1290067,3089771.98,1243.53,103.02,5.487,2.395
Wheat,Rabi,Gujarat,2004,1360971,4715376.41,631.39,214.22,4.1545,3.4647
Maize,Kharif,West Bengal,2013,170416,574256.64,412.5,123.57,0.4419,3.3697
Maize,Kharif,Himachal Pradesh,2019,400727,2072552.53,1013.69,172.17,2.8727,5.172
Maize,Kharif,Uttar Pradesh,2015,251019,1021906.86,918.47,135.18,6.4086,4.071
Maize,Kharif,Himachal Pradesh,2013,731830,3491960.12,985.43,174.49,1.2759,4.7715
Maize,Rabi,Jammu and Kashmir,2000,586478,1511565.74,1147.43,148.25,3.805,2.5774
Maize,Rabi,Bihar,2016,105780,326509.32,1065.64,126.39,3.6315,3.0867
Wheat,Rabi,Jharkhand,2017,1039497,4385385.58,360.64,213.03,2.7038,4.2188
Wheat,Rabi,Uttarakhand,1997,702592,3872668.77,406.02,230.86,2.7119,5.512
Maize,Rabi,Andhra Pradesh,2001,32560,163349.26,688.72,132.95,3.4849,5.0169
Maize,Kharif,Assam,2020,738232,2663946.83,1001.15,97.34,3.3827,3.6085
Maize,Rabi,Haryana,2007,533689,1719744.31,507.71,124.87,3.9004,3.2224
Maize,Rabi,Chhattisgarh,2014,729619,2597829.1,690.05,159.87,6.2722,3.5605
Maize,Kharif,Jharkhand,1998,315636,713989.0,581.99,89.74,0.4934,2.2621
Rice,Kharif,Chhattisgarh,2000,690214,1902241.22,1349.46,136.91,1.1842,2.756
Maize,Rabi,Tamil Nadu,2000,612616,1858623.7,759.12,171.66,4.1256,3.0339
Maize,Kharif,Himachal Pradesh,2008,618805,2753299.4,602.91,164.05,3.1955,4.4494
Wheat,Rabi,Jammu and Kashmir,2011,1744593,8142183.84,429.38,103.74,2.886,4.6671
Maize,Kharif,Tamil Nadu,1997,179389,524444.32,725.13,122.95,6.1067,2.9235
Wheat,Rabi,Uttarakhand,2016,546331,4295494.22,499.68,246.01,1.9017,7.8624
Maize,Kharif,Chhattisgarh,2002,21405,58888.94,592.53,77.4,4.32,2.7512
Rice,Kharif,Telangana,2003,2096209,6088599.18,812.59,143.87,3.585,2.9046
Maize,Kharif,Jharkhand,2014,631680,1871007.54,818.5,176.71,1.5366,2.962
Maize,Rabi,Tamil Nadu,1999,82449,259554.93,753.38,108.01,4.278,3.1481
Maize,Rabi,Jharkhand,2008,575143,1555954.34,726.92,90.79,5.0804,2.7053
Maize,Rabi,Uttarakhand,2008,336246,1040638.42,727.08,81.72,3.2121,3.0949
Wheat,Rabi,Rajasthan,2012,336712,1331587.85,595.75,206.79,5.0695,3.9547
Maize,Kharif,Madhya Pradesh,2013,161465,692134.34,948.2,176.54,3.5311,4.2866
Maize,Rabi,Uttarakhand,1999,440037,1214248.5,923.94,161.71,4.4633,2.7594
Maize,Rabi,Chhattisgarh,1999,671269,1801656.13,1059.08,170.03,2.3945,2.684
Maize,Kharif,Karnataka,2005,63896,361353.74,586.1,94.07,3.8746,5.6553
Maize,Rabi,Andhra Pradesh,2013,188027,1052280.3,888.43,74.14,1.588,5.5964
Rice,Kharif,Jharkhand,2003,253484,547729.29,1411.47,129.49,6.8191,2.1608
Maize,Rabi,Karnataka,2007,309694,1767779.62,949.29,171.33,1.2756,5.7081
Rice,Kharif,West Bengal,2001,392278,1087630.47,1099.93,83.38,7.4812,2.7726
Maize,Rabi,Jharkhand,1997,577092,1189249.85,428.82,110.61,4.0467,2.0608
Wheat,Rabi,Maharashtra,2008,30266,112690.24,425.29,217.85,4.3595,3.7233
Maize,Kharif,Jharkhand,2008,451157,1261368.42,507.11,122.49,1.9346,2.7959
Rice,Kharif,Bihar,2013,1133131,3474120.63,1564.48,111.76,3.8043,3.0659
Wheat,Rabi,Haryana,2011,2064969,15796289.84,575.15,230.02,5.3592,7.6496
Maize,Rabi,Assam,1998,761321,2218097.0,554.07,83.15,3.9367,2.9135
Wheat,Rabi,Rajasthan,2000,2390659,7839206.76,538.49,232.5,1.1868,3.2791
Maize,Rabi,Odisha,2019,522459,1784616.21,729.02,153.8,1.2001,3.4158
Wheat,Rabi,Punjab,2014,653761,5401542.56,364.5,117.54,5.9645,8.2623
Wheat,Rabi,Punjab,2011,867995,6937850.66,326.45,239.07,5.9181,7.993
Rice,Kharif,West Bengal,2002,2041843,5428925.25,1452.6,124.2,5.5535,2.6588
Maize,Kharif,Karnataka,2016,350429,2024255.73,1175.82,142.18,6.6759,5.7765
Rice,Kharif,Rajasthan,2012,262761,753887.94,904.06,136.49,5.5662,2.8691
Rice,Kharif,Andhra Pradesh,2010,190552,886634.79,959.34,168.24,1.2047,4.653
Maize,Kharif,Gujarat,2014,155698,503247.02,410.32,127.0,2.8619,3.2322
Wheat,Rabi,Uttarakhand,2014,500213,3724739.9,423.23,160.24,5.093,7.4463
Rice,Kharif,Madhya Pradesh,2001,1825259,4576584.31,888.95,114.57,2.7586,2.5074
Maize,Kharif,West Bengal,2014,151347,497718.88,1068.41,135.77,1.348,3.2886
Maize,Kharif,Punjab,1997,351479,960733.81,456.69,96.18,4.8153,2.7334
Maize,Kharif,Jammu and Kashmir,2018,309691,1069859.6,752.33,139.45,6.4239,3.4546
Maize,Rabi,Andhra Pradesh,2006,256974,1318672.16,1119.75,158.6,5.6956,5.1315
Rice,Kharif,Uttar Pradesh,2007,2989059,9215771.75,909.73,179.68,1.2869,3.0832
Maize,Rabi,Uttarakhand,2004,176790,515626.59,797.13,108.14,3.8137,2.9166
Maize,Rabi,Telangana,2010,691563,3331923.68,1156.14,77.33,4.7585,4.818
Maize,Kharif,Maharashtra,1997,199851,478437.93,454.82,77.48,6.088,2.394
Maize,Kharif,Punjab,2014,421869,1412624.91,518.36,163.92,2.8396,3.3485
Maize,Rabi,Jammu and Kashmir,2006,698805,2090966.71,480.78,127.23,4.5105,2.9922
Maize,Rabi,Bihar,2006,670213,1972447.61,866.86,173.87,0.87,2.943
Maize,Rabi,Punjab,2014,373422,1350466.68,646.47,119.01,4.1028,3.6165
Maize,Rabi,Jammu and Kashmir,2011,44211,154567.59,1022.23,170.47,3.3289,3.4961
Maize,Kharif,Maharashtra,2014,462250,1574575.5,1094.68,139.08,3.5419,3.4063
Maize,Kharif,Punjab,2008,648863,2197329.03,947.33,153.29,1.3264,3.3864
Wheat,Rabi,Haryana,2008,1342890,10373331.9,494.34,149.25,4.0587,7.7246
Rice,Kharif,Madhya Pradesh,1997,1637688,3826428.09,863.04,115.18,5.2148,2.3365
Maize,Rabi,Assam,2016,492227,1774579.07,928.68,132.53,2.0723,3.6052
Maize,Rabi,Karnataka,2009,180715,1010512.89,912.46,172.14,3.184,5.5917
Maize,Kharif,Jammu and Kashmir,2007,720706,2331781.08,1108.53,111.95,5.655,3.2354
Maize,Rabi,Uttar Pradesh,2001,297227,995810.26,599.69,82.48,5.2555,3.3503
Maize,Rabi,Madhya Pradesh,2016,636548,2642344.95,705.11,113.87,1.5749,4.1511
Wheat,Rabi,Rajasthan,2005,362486,1297630.83,532.93,138.82,4.9327,3.5798
Maize,Kharif,West Bengal,1997,68556,194659.07,722.1,107.32,6.087,2.8394
Rice,Kharif,Uttar Pradesh,2020,778221,2811149.3,812.0,158.48,0.5899,3.6123
Maize,Kharif,Haryana,2012,5884,21446.98,962.68,160.28,2.771,3.645
Maize,Rabi,Telangana,2012,290831,1548965.43,667.97,99.38,1.0486,5.326
Maize,Kharif,Bihar,1998,626254,1780184.59,614.72,163.69,5.8828,2.8426
Maize,Kharif,West Bengal,2011,329553,1161772.47,984.13,175.71,2.306,3.5253
Rice,Kharif,Bihar,2019,927605,2689159.57,1381.84,174.16,6.4325,2.899
Wheat,Rabi,Uttar Pradesh,2004,1896314,8965526.65,405.13,229.33,0.7958,4.7279
Rice,Kharif,Himachal Pradesh,2009,974350,3060209.55,1341.53,107.59,2.868,3.1408
Maize,Kharif,Madhya Pradesh,2015,228297,973122.33,928.64,160.63,6.5915,4.2625
Rice,Kharif,Telangana,2017,2640246,9256209.0,981.35,147.44,4.1477,3.5058
Maize,Rabi,Himachal Pradesh,2006,44178,206618.14,700.15,140.44,5.4902,4.6769
Wheat,Rabi,Jammu and Kashmir,2001,145833,658170.64,542.04,201.86,5.7083,4.5132
Maize,Rabi,Gujarat,2008,562244,1765708.91,802.66,82.93,3.5828,3.1405
Rice,Kharif,Telangana,2015,2139329,6677408.26,1342.49,196.65,3.3697,3.1213
Rice,Kharif,Rajasthan,2007,1487483,4132270.72,946.3,128.09,7.7173,2.778
Maize,Rabi,Himachal Pradesh,1997,175395,716119.21,1180.96,159.18,6.2173,4.0829
Maize,Kharif,Tamil Nadu,2002,396774,1115595.69,732.68,130.42,3.5075,2.8117
Maize,Rabi,Gujarat,2017,129535,501238.94,881.28,114.95,1.1977,3.8695
Wheat,Rabi,Himachal Pradesh,1999,647975,2924336.65,498.13,105.55,3.1631,4.513
Maize,Rabi,Punjab,2003,420973,1070042.81,1175.14,105.9,4.5852,2.5418
Wheat,Rabi,Bihar,2011,1904187,6498627.26,482.76,231.67,5.3033,3.4128
Maize,Rabi,Karnataka,2001,139568,693305.88,1102.37,155.83,4.6226,4.9675
Wheat,Rabi,Madhya Pradesh,2001,2096764,7971992.49,446.94,219.59,1.8203,3.802
Wheat,Rabi,Haryana,2013,1646217,13384102.76,658.58,194.59,2.3478,8.1302
Maize,Rabi,Odisha,2016,648687,2102715.65,549.08,139.38,1.0135,3.2415
Rice,Kharif,Jharkhand,2019,1619119,3769904.11,1003.62,90.17,6.1372,2.3284
Maize,Rabi,Bihar,2003,422584,1175605.72,1174.98,102.06,4.9867,2.7819
Maize,Rabi,Tamil Nadu,2003,438911,1346426.72,710.24,79.32,6.3475,3.0677
Rice,Kharif,Tamil Nadu,2006,2041557,8582523.88,1258.17,108.28,2.7414,4.2039
Maize,Kharif,Tamil Nadu,2020,154645,579051.96,615.22,93.05,5.3387,3.7444
Maize,Kharif,Bihar,2018,468385,1521847.87,443.83,137.18,3.2501,3.2491
Maize,Kharif,Chhattisgarh,2001,58063,172317.07,632.17,112.26,4.4615,2.9678
Maize,Kharif,Uttarakhand,2003,613717,1724528.14,950.13,94.31,2.8692,2.81
Rice,Kharif,Haryana,2019,515437,2849253.12,1070.71,105.23,3.9215,5.5278
Maize,Kharif,Chhattisgarh,2011,724150,2687972.59,666.63,113.57,4.1549,3.7119
Maize,Kharif,Punjab,2017,697439,2612796.46,1100.65,176.99,3.1674,3.7463
Maize,Kharif,Andhra Pradesh,2018,384030,2459340.27,813.81,74.78,5.1601,6.404
Maize,Rabi,Telangana,2020,347360,1908404.14,1122.12,154.29,1.8545,5.494
Maize,Kharif,Bihar,2004,635193,1715770.82,880.01,136.84,5.5412,2.7012
Wheat,Rabi,Punjab,2003,815021,6188804.14,547.91,137.86,2.3203,7.5934
Maize,Rabi,Rajasthan,2009,183895,787130.22,422.86,142.99,6.0784,4.2803
Maize,Kharif,Odisha,2008,235019,763776.59,1064.29,136.09,5.6445,3.2499
Maize,Kharif,Jammu and Kashmir,2019,348032,1353873.77,658.14,138.95,4.5228,3.8901
Rice,Kharif,Tamil Nadu,1998,236170,877861.15,1367.03,80.2,7.4418,3.7171
Rice,Kharif,Karnataka,2013,2008553,6798212.51,1328.38,89.09,3.9008,3.3846
Maize,Kharif,Uttar Pradesh,2006,241047,915322.03,942.16,99.6,3.1027,3.7973
Rice,Kharif,Rajasthan,2015,651327,2034246.78,1115.85,163.4,7.8318,3.1232
Maize,Kharif,West Bengal,2010,398282,1391082.93,1012.57,171.88,2.077,3.4927
Maize,Rabi,Punjab,2013,356801,1122005.03,450.58,100.13,5.3998,3.1446
Wheat,Rabi,Haryana,2006,1140029,8027991.33,591.52,190.75,0.8089,7.0419
Wheat,Rabi,Jharkhand,2000,1864067,6351256.49,465.67,132.34,3.2204,3.4072
Wheat,Rabi,Haryana,2016,1677465,14078105.67,574.74,207.0,4.3382,8.3925
Rice,Kharif,Tamil Nadu,2005,1234080,5368635.52,1418.82,117.28,1.1479,4.3503
Rice,Kharif,Gujarat,2001,333867,848862.66,1562.72,145.29,6.3981,2.5425
Maize,Rabi,Telangana,2013,742290,3981259.91,724.29,156.88,2.8448,5.3635
Wheat,Rabi,Jharkhand,2013,2439952,9728958.88,393.19,110.81,4.4921,3.9874
Maize,Kharif,Haryana,2002,344320,961967.29,1148.66,70.75,2.9316,2.7938
Maize,Rabi,Odisha,2002,406058,1188889.37,758.83,170.88,2.8915,2.9279
Maize,Rabi,Himachal Pradesh,2003,370249,1496558.88,649.51,120.09,1.7653,4.042
Maize,Rabi,Bihar,1997,334445,918638.7,590.95,113.54,4.8332,2.7468
Maize,Rabi,Andhra Pradesh,2000,273402,1279237.45,557.82,136.26,5.4174,4.679
Rice,Kharif,Jammu and Kashmir,2002,1502753,4320541.04,1539.21,158.72,6.105,2.8751
Rice,Kharif,Odisha,2018,2707264,8144751.88,986.99,186.34,2.5187,3.0085
Maize,Kharif,Andhra Pradesh,2007,113584,573016.19,709.92,136.06,6.2258,5.0449
Wheat,Rabi,Rajasthan,2010,1083484,4309099.0,319.63,133.11,4.3917,3.9771
Wheat,Rabi,Bihar,2016,200890,725746.79,302.14,175.68,2.4713,3.6127
Rice,Kharif,Chhattisgarh,2005,406106,1069305.27,1264.62,140.65,5.2791,2.6331
Maize,Rabi,West Bengal,2015,566862,1856986.1,571.26,99.17,2.3623,3.2759
Wheat,Rabi,Jammu and Kashmir,2004,400664,1633211.94,592.37,168.77,4.0856,4.0763
Maize,Kharif,Himachal Pradesh,2003,114627,504710.92,636.35,171.26,0.9666,4.4031
Maize,Kharif,Maharashtra,2013,268592,1008543.61,667.44,158.57,5.4055,3.7549
Maize,Rabi,Assam,2018,617018,2137949.96,1108.18,155.3,1.3729,3.465
Maize,Kharif,Assam,2018,68429,240020.79,502.14,134.3,3.7866,3.5076
Maize,Kharif,Himachal Pradesh,2014,49582,232833.52,557.08,73.61,4.7546,4.6959
Maize,Rabi,Andhra Pradesh,2009,365857,1823391.11,415.87,83.34,6.1246,4.9839
Maize,Kharif,Telangana,2018,352618,1922650.56,1045.82,111.35,3.0421,5.4525
Wheat,Rabi,Haryana,2019,1058675,9155444.51,421.09,222.33,4.1962,8.648
Rice,Kharif,Punjab,2001,1884892,9164087.33,873.37,189.26,6.6253,4.8619
Wheat,Rabi,Jammu and Kashmir,2017,2179917,10856400.15,677.46,112.72,2.0944,4.9802
Rice,Kharif,Maharashtra,1997,1566807,3968075.34,1261.88,164.55,0.8437,2.5326
Wheat,Rabi,Jharkhand,2004,2062938,7222332.03,356.87,194.86,3.8785,3.501
Maize,Rabi,Karnataka,2008,757146,4242453.01,1053.56,142.72,3.1365,5.6032
Maize,Kharif,Punjab,2001,528285,1628384.96,814.2,170.49,1.1772,3.0824
Maize,Rabi,Maharashtra,1997,602347,1810534.54,596.97,135.4,4.4879,3.0058
Maize,Rabi,Assam,2009,564713,1922156.41,647.73,108.19,3.9618,3.4038
Maize,Rabi,Jharkhand,2003,108396,271435.32,606.99,126.17,3.8241,2.5041
Maize,Kharif,Haryana,2007,669000,1960566.32,1069.97,134.77,5.4962,2.9306
Rice,Kharif,Chhattisgarh,2020,149377,498628.76,983.21,167.94,3.0705,3.3381
Maize,Rabi,Chhattisgarh,2008,782407,2363258.0,1126.29,162.09,4.2024,3.0205
Wheat,Rabi,Maharashtra,2011,2408866,9740183.16,537.52,178.78,5.292,4.0435
Maize,Rabi,Uttar Pradesh,1997,747225,2314659.79,904.88,95.18,6.3758,3.0977
Rice,Kharif,Gujarat,2011,334432,970017.4,1245.87,193.83,1.3879,2.9005
Wheat,Rabi,Bihar,2008,1517793,4947961.94,353.72,209.95,5.3039,3.26
Wheat,Rabi,Jharkhand,2001,250577,866196.3,330.02,195.63,2.3709,3.4568
Wheat,Rabi,Himachal Pradesh,2019,1581606,9427733.98,355.58,231.06,2.0418,5.9609
Rice,Kharif,Andhra Pradesh,2011,2152401,9105048.91,1020.7,87.44,2.4326,4.2302
Maize,Kharif,Himachal Pradesh,1997,592080,2389955.0,1107.31,114.7,4.4964,4.0365
Maize,Rabi,Haryana,1998,790408,2162983.27,831.54,179.99,2.7097,2.7365
Wheat,Rabi,Himachal Pradesh,2008,2484791,13517834.54,385.1,105.5,1.7855,5.4402
Rice,Kharif,Madhya Pradesh,2007,260051,725466.53,879.85,100.96,0.7958,2.7897
Rice,Kharif,Haryana,2018,147573,798779.67,1071.97,101.66,0.6804,5.4128
Maize,Kharif,Uttar Pradesh,2014,714952,2810160.77,937.25,79.61,3.7778,3.9306
Maize,Rabi,Rajasthan,2001,261773,967248.03,1043.75,145.35,2.3631,3.695
Wheat,Rabi,Punjab,2009,807620,7008923.31,499.6,129.95,4.4919,8.6785
Maize,Kharif,Punjab,2007,210438,608878.18,550.03,172.32,2.9931,2.8934
Wheat,Rabi,Jammu and Kashmir,2010,978959,4656799.86,512.66,128.42,3.2993,4.7569
Maize,Rabi,West Bengal,1998,26369,76383.94,897.07,96.24,3.5255,2.8967
Maize,Rabi,Maharashtra,2009,477161,1682607.81,731.19,90.23,0.5525,3.5263
Rice,Kharif,Madhya Pradesh,2019,2295917,7419503.9,1035.35,97.83,2.3538,3.2316
Rice,Kharif,Jammu and Kashmir,2019,1556144,5424555.11,1521.18,115.34,4.2632,3.4859
Wheat,Rabi,Uttar Pradesh,2006,1185859,5766372.7,637.14,228.74,4.2037,4.8626
Maize,Rabi,Uttarakhand,2016,565333,1925936.64,414.33,113.44,0.4878,3.4067
Wheat,Rabi,Maharashtra,1999,1750394,6389942.28,435.95,218.16,1.8229,3.6506
Wheat,Rabi,Jammu and Kashmir,2014,1175711,5943506.55,378.29,112.54,5.1419,5.0552
Maize,Kharif,Rajasthan,2002,89148,341736.82,946.18,142.8,3.9594,3.8334
Maize,Kharif,Uttar Pradesh,2001,395084,1275326.6,755.15,78.46,1.3088,3.228
Maize,Kharif,Odisha,2013,346974,1230660.83,582.23,96.08,3.1231,3.5468
Maize,Rabi,Madhya Pradesh,2003,627651,2473670.36,893.34,120.36,1.2942,3.9412
Rice,Kharif,Madhya Pradesh,1998,2836014,7489547.46,1536.62,154.78,5.4754,2.6409
Rice,Kharif,Chhattisgarh,2010,1506756,4345669.11,1444.42,132.65,1.9472,2.8841
Maize,Rabi,Andhra Pradesh,2002,145057,728299.91,782.55,120.05,6.9263,5.0208
Maize,Kharif,Rajasthan,2013,156981,680388.95,572.93,137.04,1.5752,4.3342
Maize,Kharif,Andhra Pradesh,2011,526800,2843539.05,1084.33,129.79,0.438,5.3978
Rice,Kharif,Telangana,2010,2375826,7180672.14,928.27,143.74,3.8704,3.0224
Rice,Kharif,Uttar Pradesh,2000,1428078,3936142.55,1419.49,174.64,4.9699,2.7563
Maize,Kharif,Gujarat,1998,474945,1308895.09,1034.35,80.24,1.8625,2.7559
Maize,Rabi,Chhattisgarh,2011,208440,692609.16,664.41,107.17,4.8383,3.3228
Wheat,Rabi,Himachal Pradesh,2004,1557996,8352386.0,481.88,173.21,3.6171,5.361
Maize,Kharif,Uttarakhand,2016,226321,814053.22,548.07,152.17,4.3867,3.5969
Rice,Kharif,Uttarakhand,2010,2394719,7256243.17,1035.77,163.64,1.9233,3.0301
Rice,Kharif,Uttarakhand,1999,1987669,5159892.85,1130.6,102.51,3.2133,2.596
Maize,Rabi,Andhra Pradesh,2012,21470,116383.66,515.2,167.34,4.7423,5.4208
Wheat,Rabi,Bihar,2007,1935582,6780923.26,477.68,185.96,0.8017,3.5033
Wheat,Rabi,Bihar,2001,1357258,3885962.51,341.04,149.19,1.9851,2.8631
Rice,Kharif,Bihar,2004,628257,1562849.0,1259.84,130.76,4.15,2.4876
Maize,Kharif,Maharashtra,2000,649883,2102550.33,875.26,112.29,4.2302,3.2353
Maize,Rabi,Jharkhand,2004,460589,1192855.48,492.79,137.35,0.7632,2.5898
Rice,Kharif,Jammu and Kashmir,2008,2352048,6156595.53,1169.01,145.96,2.6799,2.6175
Rice,Kharif,Punjab,2003,2578838,13605934.1,831.64,88.73,6.5349,5.276
Maize,Rabi,Karnataka,2002,579251,2860538.42,1122.31,92.24,3.942,4.9383
Maize,Kharif,Uttar Pradesh,2020,793086,3198329.79,977.8,126.06,3.6249,4.0328
Wheat,Rabi,Uttar Pradesh,1999,952462,4252640.99,696.9,236.94,2.9303,4.4649
Rice,Kharif,Haryana,2010,2021938,10064663.73,945.28,187.48,2.3756,4.9777
Maize,Rabi,Uttar Pradesh,1999,360007,1184538.44,898.61,113.72,0.9301,3.2903
Maize,Kharif,Uttar Pradesh,1997,240612,713668.64,451.22,72.31,4.0559,2.9661
Maize,Rabi,Assam,2005,439130,1434802.55,794.47,111.66,4.0038,3.2674
Maize,Kharif,Rajasthan,2008,480497,2075917.52,877.23,77.57,2.8962,4.3204
Maize,Rabi,Andhra Pradesh,1998,641745,2752388.43,1170.99,149.02,5.5334,4.2889
Wheat,Rabi,Gujarat,2014,2416387,9992782.12,566.76,219.94,4.4527,4.1354
Maize,Rabi,Jharkhand,2007,660744,1763288.13,892.49,142.81,3.6376,2.6686
Maize,Kharif,Maharashtra,2018,660725,2575942.04,757.16,83.73,6.8319,3.8987
Wheat,Rabi,Gujarat,2015,665615,2760045.29,502.67,158.71,3.1197,4.1466
Maize,Rabi,Chhattisgarh,2002,56040,172039.55,595.79,74.87,3.2972,3.0699
Maize,Rabi,Jharkhand,2018,363143,1062361.03,551.48,122.33,4.9662,2.9255
Rice,Kharif,Telangana,2001,1969647,5283470.16,829.59,104.19,6.4333,2.6824
Maize,Kharif,Haryana,2004,135272,428915.96,1143.55,87.38,3.413,3.1708
Maize,Rabi,Jammu and Kashmir,1998,222881,600285.73,900.41,99.11,0.9358,2.6933
Maize,Rabi,Maharashtra,2003,355996,1054202.04,744.49,160.59,4.6968,2.9613
